Variables=t10181685s,t10181938s,t10182191s,t10182444s,t10182697s,t10182950s,t10183203s,t10183456s,t10183709s,t10183962s,t10184216s,t10184469s,t10184722s,t10184975s,t10185228s,t10185481s,t10185734s,t10185987s,t10186240s,t10186493s,t10186747s,t10181685s_Velocity,t10181938s_Velocity,t10182191s_Velocity,t10182444s_Velocity,t10182697s_Velocity,t10182950s_Velocity,t10183203s_Velocity,t10183456s_Velocity,t10183709s_Velocity,t10183962s_Velocity,t10184216s_Velocity,t10184469s_Velocity,t10184722s_Velocity,t10184975s_Velocity,t10185228s_Velocity,t10185481s_Velocity,t10185734s_Velocity,t10185987s_Velocity,t10186240s_Velocity,t10186493s_Velocity,t10186747s_Velocity, ID, Error,Residual_mean
zone t="Time0 sec"
i=80 f=point
575.8400826874778, 540.4420284822022, 169.8074608184569, 645.7225593427677, 711.714183588605, 646.1165851228525, 524.0562336038639, 117.72907548259126, 327.9313641940924, 607.6106352002319, 39.88174107193887, 553.4853906823275, 614.7680876084085, 83.64280800475288, 152.42237229388377, 398.8403765632854, 708.867383776437, 362.08795085693833, 381.24330827860564, 97.14321280495442, 567.3243523632931, 0.6676319756189477, 0.5819546635377899, 0.06309160790881752, -0.6429085238332792, -0.21503704542449076, 0.6265221475450846, -0.7079608196922904, -0.5673869587689964, -0.4699612914019473, -0.6389599028731487, 0.3331345406658237, 0.04289983747601189, -0.34473868472699265, 0.5929059347092007, 0.16674392481102052, -0.0960148644212504, 0.9748028589588784, 0.7286037179467473, 0.9217247807262647, 0.9877520350614601, 0.08837998194292407, 9, 38.07184806542754 ,0.9780954594883713
103.3158409867021, 27.90634323820662, 76.37335700276104, 137.74303898107632, 635.5133875567668, 899.0951120574058, 221.8947150913394, 850.2212568572306, 77.71996512262103, 327.77903046913593, 594.4683609557181, 953.3698759097094, 422.5238698660335, 472.1251833643568, 396.2299533820045, 287.94740625292116, 64.86125162074453, 165.64484002388235, 732.8017509099474, 210.89806972922233, 464.1753394270256, -0.4348605972984916, -0.9768501049475076, 0.7243612435241833, 0.2517533495697848, -0.9037037113538997, 0.6899664470158005, 0.251775160627822, 0.4779361021798554, -0.7587136866632391, -0.5962391452939149, 0.8173468924504812, 0.8459619437913604, 0.9521722743693353, 0.8480252222408566, -0.039957200958393946, 0.8107279775686107, 0.18228729915969577, -0.7187664119027684, -0.6370747129501926, -0.4276011082826845, -0.9540310300265717, 10, 42.80630920302293 ,0.9780954594883713
217.17755115969672, 117.09653904436645, 339.4650507366151, 19.89096491540021, 921.7757950464693, 406.1399216736732, 326.30563191850916, 426.6878533344731, 201.27285603321465, 521.0937581935344, 88.86910333182452, 131.30673838126094, 282.31989040058204, 502.36169220839287, 319.73243621206274, 180.2647543334177, 270.37178003348936, 859.1988179706498, 49.731995649506366, 507.269507771522, 289.3558579104236, -0.21647119290947714, -0.1841860909975055, 0.23563245039595437, -0.9554459551257755, -0.29104961187728184, 0.3476201893790618, -0.637196524565286, -0.7677172811470954, -0.4875956592141497, -0.9837679316683186, 0.08181793300006612, -0.9343077966275215, -0.20017823813964797, -0.45126908465823523, -0.03531040731787871, 0.7793247813935593, -0.6537039381139835, -0.6085039720609262, 0.6189569276889582, 0.9141170599065209, -0.19278050317856255, 11, 44.409148075765216 ,0.9780954594883713
73.02430643603076, 41.82357841619855, 379.6297230849004, 256.4872352452848, 281.31453016263094, 907.9252759446811, 299.5522198276055, 297.6441419447594, 980.9010451282879, 378.9686619807042, 77.59158703549107, 48.54194458498973, 329.6885920505942, 811.4882223468646, 487.1748782877178, 142.16680172163188, 891.8132300378238, 86.91511654814776, 499.974880786094, 963.0150393077492, 561.6456640836981, -0.6024393606963678, 0.8144445167832344, 0.16155383760919673, -0.16905954327384598, -0.9680832895966005, -0.8130141399065061, 0.00037812831530215085, -0.33452243053544795, 0.22091630561754205, -0.14224810908187813, -0.5759841321323287, 0.5429583271106926, 0.41787733488340395, -0.5903687692476371, -0.7409180761761547, 0.4285237291392465, -0.7300051343888934, 0.7436634879580784, -0.653523978581799, -0.4383415067137395, 0.6440716113000045, 12, 53.470632159225126 ,0.9780954594883713
814.837920827963, 599.4362551954174, 752.8230262110585, 613.9250288813436, 684.6272811081035, 763.5517620494409, 980.4394469555932, 976.3119166183088, 527.7339442240246, 644.0888267398777, 658.7833179276203, 187.48344576134969, 400.5049768602127, 717.3733681123645, 218.25533074170679, 808.7909200510062, 391.86234730037285, 508.7166329537935, 112.80778452627627, 130.63980192390247, 851.5544269663943, 0.24322859575172084, -0.004449848191664829, 0.9914586868552824, 0.8870583602848414, -0.8822140142154093, -0.25049344202699264, -0.45738363843107166, -0.35589475151738914, 0.8089556982959607, 0.9107329717385875, 0.2963423569670822, 0.08193408189717544, -0.7543873856411223, -0.2457847127906434, 0.8689776007943883, -0.16381024042486003, -0.6064724474091321, -0.15066186011032667, 0.8785334355762378, 0.9288772302828563, 0.9739780297567642, 13, 38.044402072252225 ,0.9780954594883713
341.48495468386096, 514.1392755636444, 767.5886428835701, 429.51584916767496, 294.0996321568757, 353.22791971704845, 790.0962946992177, 822.3826049586814, 826.8245788368052, 742.3098462579675, 334.2724955341897, 483.57686041489546, 409.8622663413334, 463.0893216500698, 668.1304380509096, 883.3327168090889, 719.8768287027705, 473.52103959790026, 25.322100708245365, 657.1797763355328, 544.8357100139414, -0.20844429325491798, 0.39549205274265287, 0.5573317479517423, -0.5854641657739026, -0.680307743035288, 0.8769342066294927, -0.7033048393547525, -0.5685328128737621, 0.2901230189565167, 0.2606005886060305, 0.028148282328511742, 0.07775851114781451, -0.03066299241414283, 0.3851325333414637, -0.5026075257629128, -0.3036869530578823, 0.9634642358897585, -0.3456239276259869, 0.7415534849554155, 0.8907140897584811, 0.657472858511635, 14, 44.71105502311211 ,0.9780954594883713
879.5612112242425, 384.29603785978406, 836.7175669222123, 714.2643783146767, 200.1914323723818, 218.47884365351956, 565.3706541843372, 612.9229427365888, 47.96133930553936, 53.96564169735618, 451.6065158875369, 542.2497299307253, 548.5348213297231, 780.0099001107774, 31.699186752743636, 649.7057320982763, 289.1465778134973, 974.0966889892688, 958.3076990516504, 755.2964439068837, 646.487583098672, -0.4955396344285956, 0.37685335195208225, 0.31476030477548567, -0.07302963966415366, -0.16509508333185008, -0.9774396184197218, -0.7242528661669012, -0.7430027747544088, 0.6909437055343197, 0.6266389036324012, -0.1871592279811154, -0.2818628799561722, 0.21482052060502643, 0.03489485749195209, -0.4947693518261198, 0.14613674447925984, 0.2314903901662182, 0.10754950254551598, 0.7241355885040566, 0.7054106476044069, -0.6944373479323191, 15, 57.25955580573598 ,0.9780954594883713
622.4593718844578, 645.3409472922021, 567.981669444754, 784.4523895852687, 276.8576407811283, 560.581726422083, 722.193215344333, 457.9936404722099, 163.55155667765752, 207.19857750608762, 67.48171018291427, 657.0680554373944, 114.40652518576178, 354.2468047786238, 419.38922330391927, 753.7025477448979, 476.19037881420047, 540.8939726949757, 163.99275620736543, 664.6296371484824, 32.445195983904604, -0.9190386537213153, -0.39400913504065427, -0.13372550966780516, -0.23565889094115877, -0.35347232482361135, -0.21233620339218806, 0.9419473549057744, -0.44672577863031737, 0.12724820826128025, 0.21276976949650162, -0.18508621503598288, 0.6227342222157799, 0.260772294775212, -0.6473988774788997, 0.7118126925019861, 0.13285128469284047, -0.32221006827104404, 0.037086244819769076, 0.7955374572594514, 0.1111338497722083, -0.49175978894462813, 16, 44.941699943369095 ,0.9780954594883713
488.30564478973713, 805.306572114701, 929.7944478806896, 519.038619379696, 354.27069374700403, 185.84827775150214, 967.0299491715491, 856.2412251129305, 138.08474439390284, 931.5430124869525, 546.3532211056498, 488.92206960977813, 49.71731328712925, 399.18174916073457, 122.07905251333506, 715.1137280338709, 70.52247128954437, 162.78737321974046, 983.9677763875933, 436.82691027183193, 984.5522258279174, 0.3209012007416743, 0.8867526400768826, -0.7542112265879839, -0.03502629200130558, 0.06822874702296988, 0.4933664189978382, 0.12055654279917571, 0.03290190812237892, 0.11557809793431395, 0.7888631064400324, 0.48215435833757647, 0.6025570729010168, 0.44389484383801103, -0.9853697616903416, -0.6308518603849442, -0.984048685852907, 0.7377426408712342, 0.629995499116907, 0.7176599351293984, -0.03763246705527723, 0.5165949784801727, 17, 43.901555235178485 ,0.9780954594883713
616.343993608673, 720.4792269407316, 589.8294513084527, 911.4464067466912, 487.65243536084256, 269.2620155805337, 115.9165359020512, 16.740934130972217, 166.60903041020103, 745.9573579948914, 454.8448174129052, 390.23994084060564, 75.80779275407579, 454.85218659106886, 125.70643435600893, 469.5264205014449, 576.2293876519129, 405.77475152014165, 977.6980309716431, 804.0170637963321, 386.17648687285424, 0.2156491003262142, 0.3662475768137283, 0.8595271327287313, 0.5476537767621188, 0.06847320066607065, -0.8790369309203736, 0.9554710016146699, -0.5303351341450879, -0.9057115489521887, -0.6752446692881588, 0.7414027336464992, 0.6829023000408896, -0.5305410482936761, -0.9172200076681156, 0.5547998568894406, -0.07009480507671495, 0.6177378873432409, -0.6747751720925106, -0.3042368391571866, 0.2710425575368338, 0.9785474964116383, 18, 54.01200110025092 ,0.9780954594883713
