Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, GParameter_4, GParameter_5, GParameter_6, GParameter_7, GParameter_8, GParameter_9, GParameter_10, GParameter_11, GParameter_12, GParameter_13, GParameter_14, GParameter_15, GParameter_16, GParameter_17, GParameter_18, GParameter_19, GParameter_20, GParameter_21, 
47, 3793, 2.067943555916287, 267.15084660736017, 377.85188114247796, 446.67639313630707, 467.13417831612134, 463.9743921486691, 466.58105572800935, 501.186203834469, 569.5830481425198, 551.9261983367525, 509.0716589948889, 519.3292050272358, 473.82392339503525, 439.58203427002076, 177.71594260316814, 177.53331104411032, 159.30793478991154, 134.3093987735832, 142.66493237173245, 94.88579666889925, 114.5578570650858, 78.75228466764655, 
48, 3885, 2.0455888919258562, 267.02194243187716, 377.68938715739773, 446.9047641402121, 467.92404341050036, 464.50929977139384, 468.2677771711501, 501.693313247044, 568.1335916891757, 553.6615110163655, 512.7275567129395, 513.2277646502524, 471.98067176234946, 442.662560972727, 175.56177906945592, 177.95977866969113, 155.1691610555915, 135.10476518027474, 141.4202452950175, 96.40126673098393, 114.02451859780749, 78.65032008483129, 
49, 3992, 1.9892411922284234, 267.59693322301894, 380.23298467845046, 447.7767998444125, 464.6111510731067, 464.67969412275164, 466.90805858891036, 501.5611192957316, 564.657769706161, 556.7618170745517, 509.5573889782975, 515.5820381354656, 475.04890013669643, 445.14119546974626, 185.46567766104724, 171.97655871638852, 159.13018263384706, 136.2788123457926, 133.4003641339497, 97.57929431863387, 114.24682786644095, 78.83372218211136, 
50, 4015, 1.9619435362714754, 267.484756812824, 380.89513941191336, 447.1662786585239, 466.81071546298386, 465.1431788889816, 467.58135364447065, 501.88692236545035, 564.3682738711897, 558.1604177784359, 509.0241739982419, 514.8371120198534, 472.7165760747431, 445.33539122593004, 186.14280881881066, 177.01149092956734, 158.22068511494396, 137.0208617280503, 134.20610526298273, 99.52701252148807, 114.30739611509304, 78.71909248382148, 
51, 4088, 1.951572158945956, 266.35061546486673, 385.07753259068045, 447.3534462527302, 466.83371715637423, 465.3926909387235, 468.1438136987801, 501.98104000472784, 561.7224809260956, 560.055740199186, 511.8786649792542, 510.54942239031556, 472.0984880431924, 449.0931907070974, 183.18570924990104, 175.8020976435956, 159.34534465640152, 138.83495062623115, 131.50385583941366, 100.59892696006048, 114.23654105888109, 78.86649476780296, 
52, 4225, 1.9346721950255772, 265.5620431231481, 384.2207765918937, 447.50059464890626, 469.0238624706141, 465.60678244178627, 467.0484571168293, 502.57474557076154, 561.3210791396659, 561.7313329295444, 509.8634123591904, 508.3541976932139, 471.46275331046945, 444.2318595306551, 186.64015528510492, 176.248976384141, 159.57099981212835, 138.68198527357993, 128.23462576330627, 103.35555131002596, 114.06620867329818, 78.80825195945808, 
53, 4269, 1.9213470783422555, 264.9117968308871, 385.4060852353913, 447.37390193602374, 469.31727055238173, 465.62289797147656, 467.8309038060528, 503.1220441114324, 558.5346293700775, 562.0472222619203, 510.3108510185668, 505.8935440741335, 473.2640364359864, 449.3817969545083, 184.55417880521082, 180.25229175581524, 159.7729929214612, 140.07863787260175, 128.37870856319913, 104.99908171054825, 114.21153171768137, 78.69040760049796, 
54, 4352, 1.911541351777219, 263.16749081912405, 379.3148121785304, 447.11082965895366, 474.2661616715877, 464.54607899349367, 467.7065047212327, 502.8551454809421, 557.9750292194558, 561.2265431735684, 510.1946964236848, 505.7211048913213, 481.99243161994343, 446.0407148034368, 183.0956233142571, 179.0107376113003, 159.93975415660825, 140.10628061622918, 131.03602009935472, 104.90454399002759, 114.17095275807146, 78.77436859384376, 
55, 4417, 1.9011937579065181, 266.0785611251893, 376.64158017724924, 447.0679963148647, 472.65853714067663, 465.58319412160347, 467.6038264748932, 503.71854772433863, 557.4157389880361, 562.6762165773132, 509.74236467096404, 504.9000031214631, 485.09968968342014, 446.86830169749265, 182.65956967001753, 180.6008145016845, 160.035636827589, 140.70873533980867, 126.86060555637087, 106.48824935965555, 114.19159228049459, 78.59458553183045, 
56, 4502, 1.9014812281864202, 267.00926216198445, 379.0295387912146, 447.3279160416701, 470.08271265320093, 465.77263874469344, 467.5619789617435, 503.7859671373818, 557.473676161951, 562.0107744910785, 509.8672490329239, 504.6233450408393, 486.96285122891135, 446.71313573194357, 184.0553585498094, 179.37075808118718, 159.51169650454685, 140.48343366842101, 127.75317502593828, 106.60849198168061, 114.16129940883869, 78.70707847743589, 
57, 4598, 1.8976758299102623, 267.2912652768785, 376.2012920694246, 447.33413704160307, 470.7241227781583, 465.746858111272, 467.55301446840656, 504.12833560338515, 557.7563590043877, 562.6060745465494, 509.9734695470955, 502.5055144759536, 482.27231932192717, 445.5786408817893, 184.13687995166163, 180.54169857324922, 160.00958737193596, 140.62967900902197, 126.34189625279376, 107.41034082658909, 114.17771579465607, 78.86632136772202, 
58, 4662, 1.896062423814333, 267.09598302099874, 375.9903064420495, 447.3114017098994, 470.4794117083775, 465.7017770889429, 467.55993461681805, 504.1610937317404, 557.4272614533671, 562.6471982977259, 509.77048918262517, 504.8351917104758, 480.246715773017, 445.31486089046024, 183.56732111669544, 179.03535046248032, 159.84626285400287, 140.6681020801625, 127.74352765069814, 107.63680700225615, 114.16802002477938, 78.8191376705018, 
59, 4730, 1.8953588074591998, 267.3322492879584, 376.4246809564385, 447.3676727174447, 470.1521217714272, 465.9563302402924, 467.6068703745671, 504.1624577900857, 557.0380840355815, 562.5785390122502, 509.76659103205435, 504.5692142328031, 483.2588040094597, 446.26376709218505, 183.49523618180393, 180.40040478525736, 159.82439422836825, 140.52308462374413, 127.65609143701802, 107.73104062147566, 114.14805742890742, 78.89302091843452, 
60, 4859, 1.8945923476342306, 267.68017783673827, 377.35861226947173, 447.39070341456403, 469.06074112515694, 466.1353357453914, 468.0453031558463, 504.1745993556927, 557.2834982365505, 563.1819164317343, 509.8259440337378, 505.0003008683843, 482.26760614589665, 443.8061116827664, 182.79884061630383, 180.582650962284, 160.04343952361356, 140.5795959548299, 128.18126196942137, 107.92114445837346, 114.1244462629344, 78.96458549384658, 
61, 4912, 1.8937476601061611, 267.89702166832654, 376.1474996406733, 447.3667978270943, 467.0753366133253, 466.50794371131286, 467.8229046248012, 504.20690196019416, 556.78546014956, 563.1789547931857, 509.8488783673277, 504.71630234782197, 482.7401851794912, 444.4974100653728, 183.2728082863102, 180.18423356328202, 159.92579775138978, 140.38606536768268, 127.24776366097271, 107.87999332114553, 114.10499534414599, 78.97218758820698, 
62, 4984, 1.8932256675859684, 267.64817843220914, 375.7188055439577, 447.26257244151805, 466.67364101252684, 466.46159265212896, 467.72034314041724, 504.13994248206143, 557.1224400531187, 563.2282987657076, 509.8471142023323, 504.60632612316226, 481.64744000730127, 445.46218608684853, 183.43674021075788, 180.27376430998854, 159.65137686205617, 140.42683906881223, 126.40950659498382, 109.1264928863728, 114.1289574033572, 78.99982229022511, 
63, 5084, 1.8925712234317928, 267.7776315046109, 374.82372678574876, 447.412877719891, 465.5783061875987, 467.5164531447616, 468.1116840991238, 504.12760127376066, 557.7220961930961, 563.3557238214771, 509.9255367231546, 504.41700768037344, 483.75079437786985, 445.1815356318565, 183.3835006654447, 180.3877544085178, 159.71511091517252, 140.30113915734105, 126.40114234874609, 108.74739395802509, 114.11266626989307, 79.07570618046051, 
64, 5158, 1.8913832128024723, 267.87433501079414, 374.83519361028226, 447.43835201958376, 467.77796401801356, 467.56242276567264, 468.1089820770776, 504.25549262994645, 556.9603532684635, 563.3840984672026, 509.81493800025504, 504.4685519202726, 483.62396480036904, 444.95358734799225, 183.277831418378, 180.32410911963746, 159.77859982957352, 140.30023321249496, 126.92288939703899, 109.25787477596106, 114.10040815611154, 79.01675398896998, 
